"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","originaltext"
"208"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:58:00,FALSE,NA,"1148063657202454529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StephanieKier",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
"209","stranger things is progressively going down hill need better writers",FALSE,0,NA,2019-07-08 02:58:00,FALSE,NA,"1148063655038242816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","colton_tinsley",0,FALSE,FALSE,NA,NA,"Stranger Things is progressively going down hill.. need better writers."
"210"," if you posted spoilers of stranger things three days after it came out i hope you lose every 20 bill you come into poss",FALSE,0,NA,2019-07-08 02:57:59,FALSE,NA,"1148063654782353408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ameliawright__",4,TRUE,FALSE,NA,NA,"RT @CourtAlvarado: If you posted spoilers of stranger things THREE DAYS after it came out i hope you lose every $20 bill you come into poss…"
"211"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:57:59,FALSE,NA,"1148063654673342464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dolfwang_",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
"212"," hello im not new to stranger things twitter but rt if you stan and ill follow you",FALSE,0,NA,2019-07-08 02:57:59,FALSE,NA,"1148063653327003648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","steveringtone",11,TRUE,FALSE,NA,NA,"RT @maxshawkins: hello i’m not new to stranger things twitter but rt if you stan and i’ll follow you!!!"
"213","  agreed you said it all",FALSE,0,"ItsCSquared__",2019-07-08 02:57:59,FALSE,"1148049155400638464","1148063652781666304","42737645","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexBonura",0,FALSE,FALSE,NA,NA,"@ItsCSquared__ @Stranger_Things Agreed! You said it all"
"214","i love all the 80s iconic music and movie flashbacks in  strangerthingsc2cgroup",FALSE,0,NA,2019-07-08 02:57:59,FALSE,NA,"1148063650944413696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","C2Collective",0,FALSE,FALSE,NA,NA,"I love all the 80's iconic music and movie flashbacks in @Stranger_Things #strangerthings#C2CGroup"
"215","dang i wish somebody wouldve been told me about stranger things i havent moved allllll day",FALSE,0,NA,2019-07-08 02:57:58,FALSE,NA,"1148063650525208576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhalenC",0,FALSE,FALSE,NA,NA,"dang i wish somebody would’ve been told me about stranger things, i haven’t moved allllll day!"
"216","  he was so happy just why",FALSE,0,"ebonyysucks",2019-07-08 02:57:57,FALSE,"1147719485773631488","1148063646595133440","3141353138","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MariaMeeter",0,FALSE,FALSE,NA,NA,"@ebonyysucks @Stranger_Things HE WAS SO HAPPY JUST WHY"
"217","i got elevenjane hopper ",FALSE,0,NA,2019-07-08 02:57:57,FALSE,NA,"1148063646528024576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","safarismalls",0,FALSE,FALSE,NA,NA,"I got Eleven/Jane Hopper! https://t.co/nz2gcAMtQF"
"218","this is the fifth time ive watched s1 of stranger things",FALSE,0,NA,2019-07-08 02:57:57,FALSE,NA,"1148063646058258437",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thisistiam",0,FALSE,FALSE,NA,NA,"This is the fifth time I’ve watched S1 of Stranger Things"
"219","i want steve harrington to hold my hand ",FALSE,0,NA,2019-07-08 02:57:57,FALSE,NA,"1148063644846104576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hatchetfield",0,FALSE,FALSE,NA,NA,"i want steve harrington to hold my hand?

https://t.co/UcOJzZniDs https://t.co/GvCpL82MIw"
"220"," hey hey been awhile  bingewatched on season 1 amp 2 on stranger things over the weekend  cant ",FALSE,0,"hiccupsweets",2019-07-08 02:57:57,TRUE,"1147774915304538112","1148063643298226176","295046626","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","icongeeme",0,FALSE,FALSE,NA,NA,"@hiccupsweets Hey hey! Been awhile. ^_^ Binge-watched on Season 1 &amp; 2 on Stranger Things over the weekend. <U+0001F62C> Can't… https://t.co/8loTFvoPLF"
"221","i dont watch stranger things but im certain robin is the best thing about the show",FALSE,0,NA,2019-07-08 02:57:57,FALSE,NA,"1148063642719522816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","draculords",0,FALSE,FALSE,NA,NA,"I don’t watch Stranger Things, but I’m certain Robin is the best thing about the show."
"222"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:56,FALSE,NA,"1148063642065092609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sukihana3",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"223"," stranger things 3 spoiler without context ",FALSE,0,NA,2019-07-08 02:57:56,FALSE,NA,"1148063639632523264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexaDondero",2395,TRUE,FALSE,NA,NA,"RT @lilactozier: stranger things 3 spoiler without context https://t.co/EmDwVFXrVT"
"224"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:56,FALSE,NA,"1148063639225667586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsoliviaamae",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"225"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:57:55,FALSE,NA,"1148063637699026944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cassidygeigerr",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
"226","stranger things is the type of show that makes you want to throw up but you also cant look away",FALSE,0,NA,2019-07-08 02:57:55,FALSE,NA,"1148063637325733888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KellixHoffman",0,FALSE,FALSE,NA,NA,"Stranger things is the type of show that makes you want to throw up but you also can’t look away"
"227"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:55,FALSE,NA,"1148063637103435776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PiroNathan",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"228"," after watching stranger things i became slightly obsessed with the song heroes and all the versions of it b ",FALSE,0,"dxp7",2019-07-08 02:57:55,TRUE,"1148048246134267905","1148063637069881344","23904558","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davetarrantnews",0,FALSE,FALSE,NA,NA,"@dxp7 After watching Stranger Things, I became slightly obsessed with the song Heroes and all the versions of it. B… https://t.co/Xieb2ejjVD"
"229","not sure what to do with myself after watching stranger things any good shows out there",FALSE,0,NA,2019-07-08 02:57:55,FALSE,NA,"1148063635261939712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","krstrattt",0,FALSE,FALSE,NA,NA,"Not sure what to do with myself after watching Stranger Things. Any good shows out there?"
"230","not sure how into stranger things these days but i am extremely here for the mrs wheeler billy scenes",FALSE,0,NA,2019-07-08 02:57:54,FALSE,NA,"1148063632506286080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SandovalEmily",0,FALSE,FALSE,NA,NA,"Not sure how into Stranger Things these days. But I am extremely here for the Mrs. Wheeler/ Billy scenes."
"231"," the best thing about being single is i dont have to watch stranger things",FALSE,0,NA,2019-07-08 02:57:53,FALSE,NA,"1148063628907515904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Danny_Duoshade",2,TRUE,FALSE,NA,NA,"RT @dorkshorts: The best thing about being single is I don’t have to watch Stranger Things"
"232","ive just watched episode s03e08 of stranger things strangerthings  tvtime ",FALSE,0,NA,2019-07-08 02:57:53,FALSE,NA,"1148063628660264960",NA,"<a href=""https://www.tvtime.com"" rel=""nofollow"">TV Time, TV show tracker</a>","cheroverthemoon",0,FALSE,FALSE,NA,NA,"I've just watched episode S03E08 of Stranger Things! #StrangerThings  #tvtime https://t.co/f5GqngHocl"
"233","watching stranger things season 1 totally on it im hip im cool totally didnt only start watching it because ",FALSE,0,NA,2019-07-08 02:57:53,TRUE,NA,"1148063627523571719",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HoneydewDarling",0,FALSE,FALSE,NA,NA,"Watching Stranger Things season 1. Totally on it. I’m hip. I’m cool. Totally didn’t only start watching it because… https://t.co/EXQQMOwXUG"
"234","the last episode of stranger things is literally making me sob wtf",FALSE,0,NA,2019-07-08 02:57:52,FALSE,NA,"1148063625338335237",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flippinspidey",0,FALSE,FALSE,NA,NA,"the last episode of stranger things is literally making me sob wtf"
"235"," lmao my mom phoned netflix just to talk to someone and say stranger things is the best thing theyve ever done hahaha",FALSE,0,NA,2019-07-08 02:57:52,FALSE,NA,"1148063623740317696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepettyHQ",5315,TRUE,FALSE,NA,NA,"RT @BillionaireFox: LMAO MY MOM PHONED NETFLIX JUST TO TALK TO SOMEONE AND SAY STRANGER THINGS IS THE BEST THING THEYVE EVER DONE HAHAHA"
"236"," 2 minutes into stranger things season 3 and weve already got evil soviet soldiers choking people out for no reason fol",FALSE,0,NA,2019-07-08 02:57:52,FALSE,NA,"1148063622242828288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agent0129",155,TRUE,FALSE,NA,NA,"RT @battletoheaven: 2 minutes into Stranger Things season 3 and we’ve already got evil soviet soldiers choking people out for no reason fol…"
"237","just pulled my pizza rolls out and sat down on the couch right as the fucking rat scene in stranger things came on ",FALSE,1,NA,2019-07-08 02:57:51,TRUE,NA,"1148063620758200320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twicrates",0,FALSE,FALSE,NA,NA,"Just pulled my pizza rolls out and sat down on the couch, right as the fucking rat scene in stranger things came on… https://t.co/ufGoaKTY2u"
"238"," joining the give them a spinoff already team   strangerthings ",FALSE,0,NA,2019-07-08 02:57:51,FALSE,NA,"1148063618556022784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NOYtivation",404,TRUE,FALSE,NA,NA,"RT @itsleviosara: Joining the 'give them a spin-off already' team <U+0001F366> @Stranger_Things #StrangerThings https://t.co/BnGXCziCEN"
"239"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:50,FALSE,NA,"1148063616228364288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeslyGully",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"240"," no one literally not a single soul stranger things subs ominous synth music",FALSE,0,NA,2019-07-08 02:57:50,FALSE,NA,"1148063616014462976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoMaPantalones",365,TRUE,FALSE,NA,NA,"RT @French_Pain: No one: 
Literally not a single soul: 
Stranger things’ subs: *ominous synth music*"
"241"," lets makeout to the stranger things theme song",FALSE,0,NA,2019-07-08 02:57:50,FALSE,NA,"1148063613963395072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sydneymanuel12",5,TRUE,FALSE,NA,NA,"RT @lexiguilloryy: lets makeout to the stranger things theme song"
"242"," stranger things 3 2019 ",FALSE,0,NA,2019-07-08 02:57:49,FALSE,NA,"1148063612935770112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurlaurs_binks",63,TRUE,FALSE,NA,NA,"RT @damncontent: Stranger Things 3 (2019) https://t.co/msjerv2hf6"
"243","yo stranger things is wild",FALSE,0,NA,2019-07-08 02:57:49,FALSE,NA,"1148063611312640000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MindOfMahdi",0,FALSE,FALSE,NA,NA,"Yo stranger things is wild"
"244","gonna start stranger things season 3 tonight wish me luck",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063608062001152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fuckdoyoudo",0,FALSE,FALSE,NA,NA,"Gonna start Stranger Things season 3 tonight. Wish me luck."
"245","the fact that they dont let finn wolfhard have his curly hair in stranger things is just incorrect",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063607004864512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imanacs",0,FALSE,FALSE,NA,NA,"the fact that they dont let finn wolfhard have his curly hair in stranger things is just incorrect"
"246"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063606598242305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordansalazarxo",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
"247","if i started watching stranger things tonight how long would it take me to get to season 3",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063606543720448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","STNMajin",0,FALSE,FALSE,NA,NA,"if i started watching stranger things tonight how long would it take me to get to season 3"
"248"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063606522519552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sheepshleep",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"249","finalizei stranger things ",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063605813854208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RohPindorama",0,FALSE,FALSE,NA,NA,"Finalizei Stranger Things ("
"250","  ya dog is strange",FALSE,0,"TracyClark_TLC",2019-07-08 02:57:48,FALSE,"1148061147712479232","1148063605742399488","23875880","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EllenHopkinsLit",0,FALSE,FALSE,NA,NA,"@TracyClark_TLC @Stranger_Things Ya dog is..... strange....."
"251","okay so the last 15 mins of stranger things season 3 literally has my ass balling rn",FALSE,0,NA,2019-07-08 02:57:48,FALSE,NA,"1148063605226688513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tegancooper87",0,FALSE,FALSE,NA,NA,"Okay so the last 15 mins of stranger things season 3 literally has my ass balling rn"
"252"," stranger things 3 summed up ",FALSE,0,NA,2019-07-08 02:57:47,FALSE,NA,"1148063603947442177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2000sMom",12,TRUE,FALSE,NA,NA,"RT @__sad_but_rad: stranger things 3 summed up https://t.co/k7M9KcWC8Z"
"253","finished stranger things 3 today another good season not really happy with the ending though post credits teaser ",FALSE,0,NA,2019-07-08 02:57:47,TRUE,NA,"1148063603595128833",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","WolfpackCasey",0,FALSE,FALSE,NA,NA,"Finished Stranger Things 3 today. Another good season. Not really happy with the ending though. Post credits teaser… https://t.co/vBfKiQAMUw"
"254"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:47,FALSE,NA,"1148063603594891264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jsaints22",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"255"," just saw a spoiler for stranger things definitely not gonna be back on twitter till i finish it lmao",FALSE,0,NA,2019-07-08 02:57:47,FALSE,NA,"1148063603330826241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gloriamok8888",48,TRUE,FALSE,NA,NA,"RT @sjrcalderon: Just saw a spoiler for stranger things, definitely not gonna be back on twitter till I finish it lmao"
"256"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:57:47,FALSE,NA,"1148063600826884096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","headtrueeast",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"257"," everyones asleep so ill enjoy my snickers ice cream and stranger things may still be on the third episode but im get",FALSE,0,NA,2019-07-08 02:57:46,FALSE,NA,"1148063600155746304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_chenelbiancaa",3,TRUE,FALSE,NA,NA,"RT @jasminejade: Everyone’s asleep so I’ll enjoy my snickers ice cream and Stranger Things... may still be on the third episode but I’m get…"
"258","stranger things",FALSE,0,NA,2019-07-08 02:57:46,FALSE,NA,"1148063599442780163",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jennii1214",0,FALSE,FALSE,NA,NA,"Stranger things..."
"259","should i watch stranger things ",FALSE,0,NA,2019-07-08 02:57:46,FALSE,NA,"1148063597295050752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sugamarket",0,FALSE,FALSE,NA,NA,"should I watch stranger things !!!"
"260"," thanks  i cried ",FALSE,0,NA,2019-07-08 02:57:44,FALSE,NA,"1148063591443996673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DulayNeen",972,TRUE,FALSE,NA,NA,"RT @BenjiKrol: thanks @Stranger_Things i cried https://t.co/UJIEBojuzy"
"261","the way hopper from stranger things is kinda hot lets be honest i wanna hop on that dicc ",FALSE,1,NA,2019-07-08 02:57:44,FALSE,NA,"1148063589942681601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theirnameismadi",0,FALSE,FALSE,NA,NA,"the way Hopper from stranger things is kinda hot let’s be honest I wanna HOP on that dicc https://t.co/jFXiG6pZ5X"
"262","was not expecting that tear jerker from stranger things ",FALSE,0,NA,2019-07-08 02:57:44,FALSE,NA,"1148063589611253760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bryannakimens",0,FALSE,FALSE,NA,NA,"Was not expecting that tear jerker from stranger things. <U+0001F622>"
"263"," 4 stages of watching stranger things season 3 ",FALSE,0,NA,2019-07-08 02:57:43,FALSE,NA,"1148063587526533120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhodesdotc0m",123,TRUE,FALSE,NA,NA,"RT @OfficeMemes_: 4 stages of watching Stranger Things season 3 https://t.co/q7ZCTuKhuY"
"264"," stranger things 2016 ",FALSE,0,NA,2019-07-08 02:57:43,FALSE,NA,"1148063583978213376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","banez_elizabeth",1018,TRUE,FALSE,NA,NA,"RT @JimHalpert__: Stranger Things (2016) https://t.co/s2vYLaQOdR"
"265"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:57:42,FALSE,NA,"1148063582459846656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clxrissxa",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
